// <0000> 遠くでずっと、……悲しげな風の音が聞こえる。
<0000> 遠くでずっと、……悲しげな風の音が聞こえる。
<0255> 「……無視するわけにもいかず、つい助けたのが運の尽きっ」

// <0256> 恩知らずとでも言わんばかりに凄まれる。さっぱり意味がわからない。
<0256> 恩知らずとでも言わんばかりに凄まれる。さっぱり意味がわからない。

// <0257> 静流
<0257> 静流

// <0258> 「コタローは不思議に思わないのか」
<0258> 「コタローは不思議に思わないのか」

// <0259> 静流
<0259> 静流

// <0260> 「どうしてちはやが、この猛毒の瘴気の中で、防護服もなく平気なのか」
<0260> 「どうしてちはやが、この猛毒の瘴気の中で、防護服もなく平気なのか」

// <0261> 瑚太朗
<0261> 瑚太朗

// <0262> 「……え、」
<0262> 「……え、」

// <0263> 静流
<0263> 静流

// <0264> 「私やコタローでなければ、防護服を脱いだ途端に、膿を撒き散らして死ぬ。それが死なない」
<0264> 「私やコタローでなければ、防護服を脱いだ途端に、膿を撒き散らして死ぬ。それが死なない」

// <0265> ちはや
<0265> ちはや

// <0266> 「へー、すごい暴言じゃないですか。死んでる方が正常だと？　生きていちゃいけないと？」
<0266> 「へー、すごい暴言じゃないですか。死んでる方が正常だと？　生きていちゃいけないと？」

// <0267> ちはや
<0267> ちはや

// <0268> 「……あなたたちの仕業だってのは、わかってるんだからッ！！　どれだけ死んだと思ってんの！？」
<0268> 「……あなたたちの仕業だってのは、わかってるんだからッ！！　どれだけ死んだと思ってんの！？」

// <0269> ちはや
<0269> ちはや

// <0270> 「死ねたならまだいい！！　死に損ねて、今ものた打ち回っている人たちだって、大勢大勢…！！」
<0270> 「死ねたならまだいい！！　死に損ねて、今ものた打ち回っている人たちだって、大勢大勢…！！」

// <0271> 瑚太朗
<0271> 瑚太朗

// <0272> 「よせよ、こんな時に喧嘩を買うなっ。静流も売るなっ、どっちも喧嘩の売買禁止！」
<0272> 「よせよ、こんな時に喧嘩を買うなっ。静流も売るなっ、どっちも喧嘩の売買禁止！」

// <0273> 瑚太朗
<0273> 瑚太朗

// <0274> 「別に俺はちはやが防護服を着てなくても全然不思議に思わねぇ！」
<0274> 「別に俺はちはやが防護服を着てなくても全然不思議に思わねぇ！」

// <0275> 瑚太朗
<0275> 瑚太朗

// <0276> 「俺だって着てないし、静流だって暑いからと脱いじまったんだろ！？　じゃあ、ちはやだって同じだろうぜっ、なあっ！？」
<0276> 「俺だって着てないし、静流だって暑いからと脱いじまったんだろ！？　じゃあ、ちはやだって同じだろうぜっ、なあっ！？」

// <0277> ちはや
<0277> ちはや

// <0278> 「…………」
<0278> 「…………」

// <0279> 西九条
<0279> 西九条

// <0280> 「そうね」
<0280> 「そうね」

// <0281> 西九条
<0281> 西九条

// <0282> 「そうに違いないわ。ごめんなさいね、鳳さん」
<0282> 「そうに違いないわ。ごめんなさいね、鳳さん」

// <0283> 西九条
<0283> 西九条

// <0284> 「物騒な真似をしたことを謝るから、あなたも許してちょうだい」
<0284> 「物騒な真似をしたことを謝るから、あなたも許してちょうだい」

// <0285> 静流
<0285> 静流

// <0286> 「許せ」
<0286> 「許せ」

// <0287> ちはや
<0287> ちはや

// <0288> 「……はいはい。許しますから許して下さい」
<0288> 「……はいはい。許しますから許して下さい」

// <0289> この非常事態に混乱して、気が立っているのは静流たちも同じ、ということだろう…。
<0289> この非常事態に混乱して、気が立っているのは静流たちも同じ、ということだろう…。

// <0290> 西九条が銃を下げろと指示するような仕草をすると、防護服のエージェントたちはみな拳銃を下ろし、ようやく緊迫感が緩む。
<0290> 西九条が銃を下げろと指示するような仕草をすると、防護服のエージェントたちはみな拳銃を下ろし、ようやく緊迫感が緩む。

// <0291> ったく、どいつもこいつも気が短いったらありゃしない…！
<0291> ったく、どいつもこいつも気が短いったらありゃしない…！

// <0292> 瑚太朗
<0292> 瑚太朗

// <0293> 「西九条先生、一体、何があって、今はどうなってるんですか…！！」
<0293> 「西九条先生、一体、何があって、今はどうなってるんですか…！！」

// <0294> 瑚太朗
<0294> 瑚太朗

// <0295> 「ルチアは今どこでどうしてるんですか…！」
<0295> 「ルチアは今どこでどうしてるんですか…！」

// <0296> 西九条
<0296> 西九条

// <0297> 「……鳳さんって、ルチアちゃんと仲は良かった？」
<0297> 「……鳳さんって、ルチアちゃんと仲は良かった？」

// <0298> ちはや
<0298> ちはや

// <0299> 「良かったかと言われると微妙ですが」
<0299> 「良かったかと言われると微妙ですが」

// <0300> 瑚太朗
<0300> 瑚太朗

// <0301> 「ジャンボパフェを突付きあった仲だろっ」
<0301> 「ジャンボパフェを突付きあった仲だろっ」

// <0302> 静流
<0302> 静流

// <0303> 「激辛パフェをもりもり食べてた」
<0303> 「激辛パフェをもりもり食べてた」

// <0304> ちはや
<0304> ちはや

// <0305> 「うーあー、また思い出しちゃったぁああ、舌が焼けるー！！」
<0305> 「うーあー、また思い出しちゃったぁああ、舌が焼けるー！！」

// <0306> ちはや
<0306> ちはや

// <0307> 「仲が良かったかどうかはともかく、地獄の戦友であることは間違いないですっ」
<0307> 「仲が良かったかどうかはともかく、地獄の戦友であることは間違いないですっ」

// <0308> 西九条
<0308> 西九条

// <0309> 「くすくす。そう言えば、そんな話もあったわねぇ」
<0309> 「くすくす。そう言えば、そんな話もあったわねぇ」

// <0310> 静流
<0310> 静流

// <0311> 「あの日のちーは見てて面白かった。鼻水垂らしながら食べてた」
<0311> 「あの日のちーは見てて面白かった。鼻水垂らしながら食べてた」

// <0312> ちはや
<0312> ちはや

// <0313> 「なら今度はあなたが食べなさいよー！！　ふぎぎぎぎー！　水ー水ー！！」
<0313> 「なら今度はあなたが食べなさいよー！！　ふぎぎぎぎー！　水ー水ー！！」

// <0314> やっと場の雰囲気が和む。
<0314> やっと場の雰囲気が和む。

// <0315> ……やっぱり、あの日のジャンボパフェは無駄じゃなかったんだ。
<0315> ……やっぱり、あの日のジャンボパフェは無駄じゃなかったんだ。

// <0316> 瑚太朗
<0316> 瑚太朗

// <0317> 「大丈夫だぜ。ちはやにも、話を聞く資格はある」
<0317> 「大丈夫だぜ。ちはやにも、話を聞く資格はある」

// <0318> 西九条
<0318> 西九条

// <0319> 「………………」
<0319> 「………………」

// <0320> 西九条
<0320> 西九条

// <0321> 「わかったわ。天王寺君がそれを認めるなら、話す」
<0321> 「わかったわ。天王寺君がそれを認めるなら、話す」

// <0322> 西九条
<0322> 西九条

// <0323> 「全員、傾注！　黒板はないから聞き逃さないようにっ」
<0323> 「全員、傾注！　黒板はないから聞き逃さないようにっ」

// <0324> 静流
<0324> 静流

// <0325> 「ノート取れない」
<0325> 「ノート取れない」

// <0326> ちはや
<0326> ちはや

// <0327> 「先生ー、それはテストに出ますか」
<0327> 「先生ー、それはテストに出ますか」

// <0328> 瑚太朗
<0328> 瑚太朗

// <0329> 「いるらしいな。出る出る言っておいて、違うところをテストに出す先生」
<0329> 「いるらしいな。出る出る言っておいて、違うところをテストに出す先生」

// <0330> 西九条
<0330> 西九条

// <0331> 「あら、何で知ってるのよ」
<0331> 「あら、何で知ってるのよ」

// <0332> ニュースＡ
<0332> ニュースＡ

// <0333> 『本日午後２時頃。風祭市内にて極めて致死性の高いガスが発生しました』
<0333> 『本日午後２時頃。風祭市内にて極めて致死性の高いガスが発生しました』

// <0334> ニュースＡ
<0334> ニュースＡ

// <0335> 『風祭市では明日よりのイベント、収穫祭のため大勢の観光客が訪れており、犠牲者の数は相当な数に上ると思われます』
<0335> 『風祭市では明日よりのイベント、収穫祭のため大勢の観光客が訪れており、犠牲者の数は相当な数に上ると思われます』

// <0336> ニュースＢ
<0336> ニュースＢ

// <0337> 『救助の遅れている最大の原因は、ガスの正体が未だ不明なためです！』
