// <0000> すぐさま救急車で運ばれる。
<0000> すぐさま救急車で運ばれる。

// <0354> 咲夜
<0354> 咲夜

// <0355> 「ち、ちはやさん！　なぜ与太郎君へお渡しに！？」
<0355> 「ち、ちはやさん！　なぜ与太郎君へお渡しに！？」

// <0356> ちはや
<0356> ちはや

// <0357> 「そりゃだって、咲夜は買えばいいじゃないですか」
<0357> 「そりゃだって、咲夜は買えばいいじゃないですか」

// <0358> 咲夜
<0358> 咲夜

// <0359> 「なんと…貧乏人の与太郎君への優しい気遣いを…」
<0359> 「なんと…貧乏人の与太郎君への優しい気遣いを…」

// <0360> 瑚太朗
<0360> 瑚太朗

// <0361> 「いちいち腹が立つんですけどね…」
<0361> 「いちいち腹が立つんですけどね…」

// <0362> ひとまずあんず飴は美味い。
<0362> ひとまずあんず飴は美味い。

// <0363> おじさんたち
<0363> おじさんたち

// <0364> 『フェスティバアアアアアアァァァアァァル！！』
<0364> 『フェスティバアアアアアアァァァアァァル！！』

// <0365> そしてフェスティバルおじさんは二人に増えていた。
<0365> そしてフェスティバルおじさんは二人に増えていた。

// <0366> ちはや
<0366> ちはや

// <0367> 「焼きそばですー」
<0367> 「焼きそばですー」

// <0368> ちはや
<0368> ちはや

// <0369> 「たこ焼きですー」
<0369> 「たこ焼きですー」

// <0370> ちはや
<0370> ちはや

// <0371> 「チョコバナナですー」
<0371> 「チョコバナナですー」

// <0372> ちはや
<0372> ちはや

// <0373> 「お肉の串ですー」
<0373> 「お肉の串ですー」

// <0374> ちはや
<0374> ちはや

// <0375> 「お好み焼きですー」
<0375> 「お好み焼きですー」

// <0376> ちはや
<0376> ちはや

// <0377> 「鮎の塩焼きですー」
<0377> 「鮎の塩焼きですー」

// <0378> ちはや
<0378> ちはや

// <0379> 「チョコバナナですー」
<0379> 「チョコバナナですー」

// <0380> ちはや
<0380> ちはや

// <0381> 「じゃがバターですー」
<0381> 「じゃがバターですー」

// <0382> 瑚太朗
<0382> 瑚太朗

// <0383> 「…で、ですよ」
<0383> 「…で、ですよ」

// <0384> 咲夜
<0384> 咲夜

// <0385> 「はい」
<0385> 「はい」

// <0386> 瑚太朗
<0386> 瑚太朗

// <0387> 「お宅のお嬢さんヘヴィなもんばっかり買って回ってる気がすんですけど…」
<0387> 「お宅のお嬢さんヘヴィなもんばっかり買って回ってる気がすんですけど…」

// <0388> 咲夜
<0388> 咲夜

// <0389> 「たまにはこういうのもよろしいかと」
<0389> 「たまにはこういうのもよろしいかと」

// <0390> ちはや
<0390> ちはや

// <0391> 「チョコバナナ買って来ましたー」
<0391> 「チョコバナナ買って来ましたー」

// <0392> 瑚太朗
<0392> 瑚太朗

// <0393> 「三本目！」
<0393> 「三本目！」

// <0394> あんまり甘いもんって出店にゃないからなあ…。
<0394> あんまり甘いもんって出店にゃないからなあ…。

// <0395> しかしベビーカステラ（焼きたて）は美味い。
<0395> しかしベビーカステラ（焼きたて）は美味い。

// <0396> ちはや
<0396> ちはや

// <0397> 「何ですそれ？」
<0397> 「何ですそれ？」

// <0398> 瑚太朗
<0398> 瑚太朗

// <0399> 「食ってみるか？」
<0399> 「食ってみるか？」

// <0400> ちはや
<0400> ちはや

// <0401> 「じゃ、もらいます」
<0401> 「じゃ、もらいます」

// <0402> 一個摘んで持っていく。
<0402> 一個摘んで持っていく。

// <0403> ちはや
<0403> ちはや

// <0404> 「ほいひいれふねこれー」
<0404> 「ほいひいれふねこれー」

// <0405> ちはや
<0405> ちはや

// <0406> 「もう一個くださいー」
<0406> 「もう一個くださいー」

// <0407> 瑚太朗
<0407> 瑚太朗

// <0408> 「とりあえず手に持ってるもん片付けてからにしなさい」
<0408> 「とりあえず手に持ってるもん片付けてからにしなさい」

// <0409> ちはや
<0409> ちはや

// <0410> 「えー」
<0410> 「えー」

// <0411> 彼女って言うより娘相手してる気がしてきた。
<0411> 彼女って言うより娘相手してる気がしてきた。

// <0412> ちはや
<0412> ちはや

// <0413> 「あ、あれはなんです？」
<0413> 「あ、あれはなんです？」

// <0414> みれば、小学生が固まって机に向かっていた。
<0414> みれば、小学生が固まって机に向かっていた。

// <0415> 瑚太朗
<0415> 瑚太朗

// <0416> 「ああ、ありゃ型抜きだ…」
<0416> 「ああ、ありゃ型抜きだ…」

// <0417> 店の人
<0417> 店の人

// <0418> 「えらっしゃいー」
<0418> 「えらっしゃいー」

// <0419> ちはや
<0419> ちはや

// <0420> 「やってみたいですねえ」
<0420> 「やってみたいですねえ」

// <0421> 瑚太朗
<0421> 瑚太朗

// <0422> 「ま、いいんじゃない」
<0422> 「ま、いいんじゃない」

// <0423> 成功は無理にしても、１００円にしては結構夢中になれるので。コストパフォーマンスは高い。
<0423> 成功は無理にしても、１００円にしては結構夢中になれるので。コストパフォーマンスは高い。

// <0424> ちはや
<0424> ちはや

// <0425> 「よーし頑張りますよー」
<0425> 「よーし頑張りますよー」

// <0426> 画鋲を手に、トライ開始。
<0426> 画鋲を手に、トライ開始。

// <0427> 俺も久々にやってみるか。
<0427> 俺も久々にやってみるか。

// <0428> 瑚太朗
<0428> 瑚太朗

// <0429> 「俺にも一個ください」
<0429> 「俺にも一個ください」

// <0430> 店の人
<0430> 店の人

// <0431> 「えいよ」
<0431> 「えいよ」

// <0432> 包みを開ける。出てきたのはリンゴ型だ。
<0432> 包みを開ける。出てきたのはリンゴ型だ。

// <0433> 瑚太朗
<0433> 瑚太朗

// <0434> 「こりゃ無理だな…」
<0434> 「こりゃ無理だな…」

// <0435> ヘタの部分が弱すぎるので、まずそこで割れてしまうのが常の形である。
<0435> ヘタの部分が弱すぎるので、まずそこで割れてしまうのが常の形である。

// <0436> 瑚太朗
<0436> 瑚太朗

// <0437> 「ちはやは何？」
<0437> 「ちはやは何？」

// <0438> ちはや
<0438> ちはや

// <0439> 「…割れましたー」
<0439> 「…割れましたー」

// <0440> 瑚太朗
<0440> 瑚太朗

// <0441> 「………」
<0441> 「………」

// <0442> トライ時間、およそ１０秒…。
<0442> トライ時間、およそ１０秒…。

// <0443> ちはや
<0443> ちはや

// <0444> 「もう一回やりますっ」
<0444> 「もう一回やりますっ」

// <0445> 瑚太朗
<0445> 瑚太朗

// <0446> 「そうか、頑張れよ…」
<0446> 「そうか、頑張れよ…」

// <0447> 咲夜
<0447> 咲夜

// <0448> 「ちはやさん、あまりここばかりに集中していては回りきれませんよ」
<0448> 「ちはやさん、あまりここばかりに集中していては回りきれませんよ」

// <0449> ちはや
<0449> ちはや

// <0450> 「ちょっとだけですからー」
<0450> 「ちょっとだけですからー」

// <0451> 再度チャレンジ。
<0451> 再度チャレンジ。

// <0452> 瑚太朗
<0452> 瑚太朗

// <0453> 「これな、一気に抜こうとしないで周りから削っていくんよ」
<0453> 「これな、一気に抜こうとしないで周りから削っていくんよ」

// <0454> ちはや
<0454> ちはや

// <0455> 「へー」
<0455> 「へー」

// <0456> 店の人
<0456> 店の人

// <0457> 「削りだすのは禁止ねー」
<0457> 「削りだすのは禁止ねー」

// <0458> 瑚太朗
<0458> 瑚太朗

// <0459> 「ちっ…」
<0459> 「ちっ…」

// <0460> 針先で型の線をなぞって削りだす手法をとれば、成功率は数倍に上がるのだが（１％から４～５％くらい）。
<0460> 針先で型の線をなぞって削りだす手法をとれば、成功率は数倍に上がるのだが（１％から４～５％くらい）。

// <0461> ちはや
<0461> ちはや

// <0462> 「これ、すごい地道ですね…」
<0462> 「これ、すごい地道ですね…」

// <0463> 瑚太朗
<0463> 瑚太朗

// <0464> 「そういうもんよ」
<0464> 「そういうもんよ」

// <0465> ふと隣を見ると。
<0465> ふと隣を見ると。

// <0466> 咲夜
<0466> 咲夜

// <0467> 「はあああぁぁあぁーーッ！！」
<0467> 「はあああぁぁあぁーーッ！！」

// <0468> すかかっかかかんっ！！
<0468> すかかっかかかんっ！！

// <0469> 瑚太朗
<0469> 瑚太朗

// <0470> 「………」
<0470> 「………」

// <0471> 工場の精密機械のように型から打ち出していた。
<0471> 工場の精密機械のように型から打ち出していた。

// <0472> 小学生たち
<0472> 小学生たち

// <0473> 「すっげー！」
<0473> 「すっげー！」

// <0474> わいのわいのと子供たちを周囲に集めていく。
<0474> わいのわいのと子供たちを周囲に集めていく。

// <0475> 咲夜
<0475> 咲夜

// <0476> 「これでいかがでしょう」
<0476> 「これでいかがでしょう」

// <0477> 店の人
<0477> 店の人

// <0478> 「あんた…プロだね…」
<0478> 「あんた…プロだね…」

// <0479> 咲夜
<0479> 咲夜

// <0480> 「何、それほどでも」
<0480> 「何、それほどでも」

// <0481> 店の人
<0481> 店の人

// <0482> 「うちゃあプロはお断りでね。これっきりにしといてくんな」
<0482> 「うちゃあプロはお断りでね。これっきりにしといてくんな」

// <0483> 咲夜
<0483> 咲夜

// <0484> 「………」
<0484> 「………」

// <0485> 賞金の３００円を放り投げられる。
<0485> 賞金の３００円を放り投げられる。

// <0486> 咲夜
<0486> 咲夜

// <0487> 「………」
<0487> 「………」

// <0488> 咲夜
<0488> 咲夜

// <0489> 「なんでしょうかこの達成感の無さは…」
<0489> 「なんでしょうかこの達成感の無さは…」

// <0490> 瑚太朗
<0490> 瑚太朗

// <0491> 「そういうもんよ」
<0491> 「そういうもんよ」

// <0492> ちはや
<0492> ちはや

// <0493> 「………」
<0493> 「………」

// <0494> 咲夜の様を見ていたちはやが、意地になって彫り始めていた。
<0494> 咲夜の様を見ていたちはやが、意地になって彫り始めていた。

// <0495> 咲夜
<0495> 咲夜

// <0496> 「ちはやさん、これはそろそろこのくらいにしておいたほうが」
<0496> 「ちはやさん、これはそろそろこのくらいにしておいたほうが」

// <0497> ちはや
<0497> ちはや

// <0498> 「いやです、もうちょっとやります」
<0498> 「いやです、もうちょっとやります」

// <0499> 咲夜
<0499> 咲夜

// <0500> 「しかし…」
<0500> 「しかし…」

// <0501> ちはや
<0501> ちはや

// <0502> 「もー、だったら咲夜は先に帰っていてくださいっ！」
<0502> 「もー、だったら咲夜は先に帰っていてくださいっ！」

// <0503> 咲夜
<0503> 咲夜

// <0504> 「な…！」
<0504> 「な…！」

// <0505> 咲夜
<0505> 咲夜

// <0506> 「………」
<0506> 「………」

// <0507> 再び執事が石と化した。
<0507> 再び執事が石と化した。

// <0508> 瑚太朗
<0508> 瑚太朗

// <0509> 「…ま、適度にがんばんべ」
<0509> 「…ま、適度にがんばんべ」

// <0510> 俺ももう一個やることにした。
<0510> 俺ももう一個やることにした。

// <0511> 石化した執事はとりあえずその場に置いて（小学生たちが一方的に遊び相手にしていたようだ）、さらに回ることにした。
<0511> 石化した執事はとりあえずその場に置いて（小学生たちが一方的に遊び相手にしていたようだ）、さらに回ることにした。

// <0512> 瑚太朗
<0512> 瑚太朗

// <0513> 「お、射的だ」
<0513> 「お、射的だ」

// <0514> コルク栓を撃ち出すエアガンでお菓子を落とす出店だ。
<0514> コルク栓を撃ち出すエアガンでお菓子を落とす出店だ。
